service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20140817,20141206
2,0,0,0,0,0,1,0,20140817,20141206
3,0,0,0,0,0,0,1,20140817,20141206
4,1,1,1,1,1,0,0,20140817,20141206
8,0,0,0,0,0,0,0,20140817,20141206
9,0,0,0,0,0,0,0,20140817,20141206
10,0,0,0,0,0,0,0,20140817,20141206
11,0,0,0,0,0,0,0,20140817,20141206
12,0,0,0,0,0,0,0,20140817,20141206
13,0,0,0,0,0,0,0,20140817,20141206
15,0,0,0,0,0,0,0,20140817,20141206
16,0,0,0,0,0,0,0,20140817,20141206
17,0,0,0,0,0,0,0,20140817,20141206
18,0,0,0,0,0,0,0,20140817,20141206
19,0,0,0,0,0,0,0,20140817,20141206
20,0,0,0,0,0,0,0,20140817,20141206
21,0,0,0,0,0,0,0,20140817,20141206
22,0,0,0,0,0,0,0,20140817,20141206
23,0,0,0,0,0,0,0,20140817,20141206
24,0,0,0,0,0,0,0,20140817,20141206
25,0,0,0,0,0,0,0,20140817,20141206
105202,0,0,0,0,0,0,0,20140817,20141206
116302,0,0,0,0,0,0,0,20140817,20141206
156202,0,0,0,0,0,0,0,20140817,20141206
168202,0,0,0,0,0,0,0,20140817,20141206
105303,0,0,0,0,0,0,0,20140817,20141206
1004,0,0,0,0,0,0,0,20140817,20141206
12704,0,0,0,0,0,0,0,20140817,20141206
13304,0,0,0,0,0,0,0,20140817,20141206
24904,0,0,0,0,0,0,0,20140817,20141206
32404,0,0,0,0,0,0,0,20140817,20141206
46304,0,0,0,0,0,0,0,20140817,20141206
71304,0,0,0,0,0,0,0,20140817,20141206
74204,0,0,0,0,0,0,0,20140817,20141206
82404,0,0,0,0,0,0,0,20140817,20141206
123704,0,0,0,0,0,0,0,20140817,20141206
128004,0,0,0,0,0,0,0,20140817,20141206
142204,0,0,0,0,0,0,0,20140817,20141206
150804,0,0,0,0,0,0,0,20140817,20141206
105224,0,0,0,0,0,0,0,20140817,20141206
105325,0,0,0,0,0,0,0,20140817,20141206
